timestamp,RAW_ACCEL_X,RAW_ACCEL_Y,RAW_ACCEL_Z,RAW_TEMP,RAW_GYRO_X,RAW_GYRO_Y,RAW_GYRO_Z
1.680681047295044184e+09,1.675200000000000000e+04,-3.520000000000000000e+02,2.292000000000000000e+03,-4.208000000000000000e+03,-1.396900000000000000e+04,-1.484700000000000000e+04,-1.216800000000000000e+04
1.680681047300434828e+09,1.678400000000000000e+04,-3.800000000000000000e+02,2.292000000000000000e+03,-4.224000000000000000e+03,-1.430700000000000000e+04,-1.520600000000000000e+04,-1.246100000000000000e+04
1.680681047302740335e+09,1.664400000000000000e+04,-3.760000000000000000e+02,2.376000000000000000e+03,-4.176000000000000000e+03,-1.431500000000000000e+04,-1.521500000000000000e+04,-1.246800000000000000e+04
1.680681047303966999e+09,1.673600000000000000e+04,-3.920000000000000000e+02,2.364000000000000000e+03,-4.208000000000000000e+03,-1.431500000000000000e+04,-1.521600000000000000e+04,-1.246900000000000000e+04
1.680681047307761908e+09,1.666400000000000000e+04,-4.120000000000000000e+02,2.320000000000000000e+03,-4.224000000000000000e+03,-1.431500000000000000e+04,-1.521500000000000000e+04,-1.246900000000000000e+04
1.680681047310255051e+09,1.664000000000000000e+04,-4.400000000000000000e+02,2.368000000000000000e+03,-4.208000000000000000e+03,-1.431600000000000000e+04,-1.521700000000000000e+04,-1.246800000000000000e+04
1.680681047313294649e+09,1.671600000000000000e+04,-4.000000000000000000e+02,2.388000000000000000e+03,-4.224000000000000000e+03,-1.431600000000000000e+04,-1.521600000000000000e+04,-1.246800000000000000e+04
1.680681047319267035e+09,1.673600000000000000e+04,-4.360000000000000000e+02,2.232000000000000000e+03,-4.224000000000000000e+03,-1.431600000000000000e+04,-1.521600000000000000e+04,-1.246800000000000000e+04
1.680681047320599318e+09,1.678000000000000000e+04,-3.960000000000000000e+02,2.328000000000000000e+03,-4.224000000000000000e+03,-1.431600000000000000e+04,-1.521600000000000000e+04,-1.246800000000000000e+04
1.680681047323340178e+09,1.662400000000000000e+04,-3.680000000000000000e+02,2.268000000000000000e+03,-4.208000000000000000e+03,-1.431700000000000000e+04,-1.521700000000000000e+04,-1.246800000000000000e+04
1.680681047329091311e+09,1.671600000000000000e+04,-4.120000000000000000e+02,2.232000000000000000e+03,-4.192000000000000000e+03,-1.431600000000000000e+04,-1.521600000000000000e+04,-1.246800000000000000e+04
1.680681047333234787e+09,1.675600000000000000e+04,-4.880000000000000000e+02,2.364000000000000000e+03,-4.192000000000000000e+03,-1.431600000000000000e+04,-1.521600000000000000e+04,-1.246800000000000000e+04
1.680681047334569931e+09,1.662000000000000000e+04,-4.400000000000000000e+02,2.320000000000000000e+03,-4.192000000000000000e+03,-1.431600000000000000e+04,-1.521600000000000000e+04,-1.246800000000000000e+04
1.680681047335823298e+09,1.648800000000000000e+04,-4.400000000000000000e+02,2.332000000000000000e+03,-4.224000000000000000e+03,-1.431600000000000000e+04,-1.521600000000000000e+04,-1.246800000000000000e+04
1.680681047337046623e+09,1.663200000000000000e+04,-4.280000000000000000e+02,2.324000000000000000e+03,-4.224000000000000000e+03,-1.431600000000000000e+04,-1.521600000000000000e+04,-1.246800000000000000e+04
1.680681047339809418e+09,1.678000000000000000e+04,-4.080000000000000000e+02,2.372000000000000000e+03,-4.224000000000000000e+03,-1.431600000000000000e+04,-1.521600000000000000e+04,-1.246800000000000000e+04
1.680681047342828274e+09,1.666000000000000000e+04,-3.080000000000000000e+02,2.348000000000000000e+03,-4.208000000000000000e+03,-1.431500000000000000e+04,-1.521500000000000000e+04,-1.246800000000000000e+04
1.680681047346096039e+09,1.663200000000000000e+04,-4.000000000000000000e+02,2.388000000000000000e+03,-4.208000000000000000e+03,-1.431600000000000000e+04,-1.521600000000000000e+04,-1.246800000000000000e+04
1.680681047349368095e+09,1.665200000000000000e+04,-4.040000000000000000e+02,2.420000000000000000e+03,-4.192000000000000000e+03,-1.431600000000000000e+04,-1.521600000000000000e+04,-1.246800000000000000e+04
1.680681047353145361e+09,1.782000000000000000e+04,-7.760000000000000000e+02,3.360000000000000000e+03,-4.240000000000000000e+03,-4.100000000000000000e+03,7.366000000000000000e+03,-2.104400000000000000e+04
1.680681047356174946e+09,1.664000000000000000e+04,-3.960000000000000000e+02,2.320000000000000000e+03,-4.208000000000000000e+03,-8.430000000000000000e+02,-6.256000000000000000e+03,-2.273000000000000000e+03
1.680681047360989332e+09,1.664000000000000000e+04,-3.040000000000000000e+02,2.296000000000000000e+03,-4.208000000000000000e+03,1.450000000000000000e+02,-1.900000000000000000e+03,-2.206000000000000000e+03
1.680681047362640381e+09,1.660400000000000000e+04,-3.880000000000000000e+02,2.424000000000000000e+03,-4.240000000000000000e+03,7.550000000000000000e+02,-2.366000000000000000e+03,-2.783000000000000000e+03
1.680681047364156246e+09,1.669600000000000000e+04,-4.280000000000000000e+02,2.272000000000000000e+03,-4.256000000000000000e+03,1.691000000000000000e+03,-2.192000000000000000e+03,-3.538000000000000000e+03
1.680681047365938902e+09,1.652400000000000000e+04,-4.280000000000000000e+02,2.116000000000000000e+03,-4.224000000000000000e+03,2.561000000000000000e+03,-1.007000000000000000e+03,-3.611000000000000000e+03
1.680681047367392063e+09,1.672800000000000000e+04,-3.760000000000000000e+02,2.288000000000000000e+03,-4.192000000000000000e+03,3.781000000000000000e+03,-8.080000000000000000e+02,-3.919000000000000000e+03
1.680681047370621920e+09,1.668800000000000000e+04,-3.280000000000000000e+02,2.304000000000000000e+03,-4.224000000000000000e+03,8.520000000000000000e+02,-3.058000000000000000e+03,-3.330000000000000000e+03
1.680681047371329784e+09,1.662400000000000000e+04,-4.160000000000000000e+02,2.416000000000000000e+03,-4.208000000000000000e+03,3.900000000000000000e+01,-3.215000000000000000e+03,-3.407000000000000000e+03
1.680681047372311831e+09,1.664400000000000000e+04,-4.320000000000000000e+02,2.416000000000000000e+03,-4.208000000000000000e+03,-8.680000000000000000e+02,-3.166000000000000000e+03,-3.728000000000000000e+03
