timestamps_rising_edge
1.680014332913908720e+09
1.680014333246983528e+09
1.680014333546234131e+09
1.680014337361281395e+09
1.680014338345604181e+09
1.680014339039746284e+09
1.680014339329254389e+09
1.680014339622010469e+09
1.680014339854084492e+09
