timestamps_rising_edge
1.679989194856152773e+09
1.679989196068167210e+09
1.679989197236888409e+09
1.679989198072657824e+09
1.679989198713146687e+09
1.679989199270774841e+09
1.679989200591578960e+09
1.679989201885455132e+09
