timestamp,ACCEL_X,ACCEL_Y,ACCEL_Z,GYRO_X,GYRO_Y,GYRO_Z
1.680000501294576645e+09,1.652000000000000000e+04,3.240000000000000000e+02,1.828000000000000000e+03,9.000000000000000000e+01,-1.110000000000000000e+02,4.100000000000000000e+01
1.680000501294926643e+09,1.652000000000000000e+04,3.240000000000000000e+02,1.828000000000000000e+03,9.000000000000000000e+01,-1.110000000000000000e+02,4.100000000000000000e+01
1.680000501295154095e+09,1.652000000000000000e+04,3.240000000000000000e+02,1.828000000000000000e+03,9.000000000000000000e+01,-1.110000000000000000e+02,4.100000000000000000e+01
1.680000501295389175e+09,1.652000000000000000e+04,3.240000000000000000e+02,1.828000000000000000e+03,9.000000000000000000e+01,-1.110000000000000000e+02,4.100000000000000000e+01
1.680000501295687914e+09,1.652000000000000000e+04,3.240000000000000000e+02,1.828000000000000000e+03,9.000000000000000000e+01,-1.110000000000000000e+02,4.100000000000000000e+01
1.680000501295909882e+09,1.652000000000000000e+04,3.240000000000000000e+02,1.828000000000000000e+03,9.000000000000000000e+01,-1.110000000000000000e+02,4.100000000000000000e+01
1.680000501296133280e+09,1.652000000000000000e+04,3.240000000000000000e+02,1.828000000000000000e+03,9.000000000000000000e+01,-1.110000000000000000e+02,4.100000000000000000e+01
1.680000501296396017e+09,1.652000000000000000e+04,3.240000000000000000e+02,1.828000000000000000e+03,9.000000000000000000e+01,-1.110000000000000000e+02,4.100000000000000000e+01
1.680000501296619892e+09,1.652000000000000000e+04,3.240000000000000000e+02,1.828000000000000000e+03,9.000000000000000000e+01,-1.110000000000000000e+02,4.100000000000000000e+01
1.680000501296885252e+09,1.652000000000000000e+04,3.240000000000000000e+02,1.828000000000000000e+03,9.000000000000000000e+01,-1.110000000000000000e+02,4.100000000000000000e+01
1.680000501297128677e+09,1.652000000000000000e+04,3.240000000000000000e+02,1.828000000000000000e+03,9.000000000000000000e+01,-1.110000000000000000e+02,4.100000000000000000e+01
1.680000501297370911e+09,1.652000000000000000e+04,3.240000000000000000e+02,1.828000000000000000e+03,9.000000000000000000e+01,-1.110000000000000000e+02,4.100000000000000000e+01
