timestamp,battery,temperatur,pressure
1.681397973000000000e+09,3.900000000000000000e+01,2.300000000000000000e+01,2.245399932861328125e+02
1.681397974000000000e+09,3.900000000000000000e+01,2.300000000000000000e+01,2.245399932861328125e+02
1.681397975000000000e+09,3.900000000000000000e+01,2.300000000000000000e+01,2.245399932861328125e+02
1.681397976000000000e+09,3.900000000000000000e+01,2.300000000000000000e+01,2.245399932861328125e+02
1.681397977000000000e+09,3.900000000000000000e+01,2.300000000000000000e+01,2.245399932861328125e+02
1.681397978000000000e+09,3.900000000000000000e+01,2.300000000000000000e+01,2.245399932861328125e+02
1.681397979000000000e+09,3.900000000000000000e+01,2.300000000000000000e+01,2.245399932861328125e+02
1.681397980000000000e+09,3.900000000000000000e+01,2.300000000000000000e+01,2.245399932861328125e+02
1.681397981000000000e+09,3.900000000000000000e+01,2.300000000000000000e+01,2.245399932861328125e+02
1.681397982000000000e+09,3.900000000000000000e+01,2.300000000000000000e+01,2.245399932861328125e+02
1.681397983000000000e+09,-1.000000000000000000e+00,-1.000000000000000000e+00,2.245399932861328125e+02
