timestamps_rising_edge
1.679988727292481184e+09
1.679988727832351208e+09
1.679988728092347622e+09
1.679988728648656130e+09
1.679988729007784843e+09
1.679988729652569294e+09
1.679988729945607185e+09
1.679988730579032421e+09
1.679988731170131683e+09
1.679988732909902096e+09
1.679988733780901194e+09
1.679988734527995348e+09
