timestamp,lon,lat,sog,status,numSV
1.682514162439087868e+09,7.575221499999999608e+00,5.036561199999999872e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.682514163441635132e+09,7.575221499999999608e+00,5.036561199999999872e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.682514164436792850e+09,7.575221499999999608e+00,5.036561199999999872e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.682514165444749594e+09,7.575221499999999608e+00,5.036561199999999872e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.682514166447855711e+09,7.575221499999999608e+00,5.036561199999999872e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.682514167437163591e+09,7.575221499999999608e+00,5.036561199999999872e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.682514168456022978e+09,7.575221499999999608e+00,5.036561199999999872e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.682514169449754715e+09,7.575221499999999608e+00,5.036561199999999872e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.682514170441465855e+09,7.575221499999999608e+00,5.036561199999999872e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.682514171442704439e+09,7.575221499999999608e+00,5.036561199999999872e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.682514172437608242e+09,7.575221499999999608e+00,5.036561199999999872e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
