timestamp,lon,lat,sog,status,numSV
1.682514162051268101e+09,7.574995666699999575e+00,5.036479983329999754e+01,2.220000000000000029e-01,3.000000000000000000e+00,1.100000000000000000e+01
1.682514163035619497e+09,7.574994499999999853e+00,5.036479883330000007e+01,3.400000000000000244e-01,3.000000000000000000e+00,1.100000000000000000e+01
1.682514164040038586e+09,7.574995000000000367e+00,5.036479916670000279e+01,9.900000000000000466e-02,3.000000000000000000e+00,1.100000000000000000e+01
1.682514165040312290e+09,7.574995666699999575e+00,5.036479983329999754e+01,2.149999999999999967e-01,3.000000000000000000e+00,1.100000000000000000e+01
1.682514166039326668e+09,7.574996166700000089e+00,5.036480050000000119e+01,3.180000000000000049e-01,3.000000000000000000e+00,1.100000000000000000e+01
1.682514167037468433e+09,7.574997333299999802e+00,5.036480083330000213e+01,1.610000000000000042e-01,3.000000000000000000e+00,1.100000000000000000e+01
1.682514168042464733e+09,7.574997166700000228e+00,5.036480116669999774e+01,1.170000000000000068e-01,3.000000000000000000e+00,1.100000000000000000e+01
1.682514169041939497e+09,7.574998166700000368e+00,5.036480116669999774e+01,1.130000000000000032e-01,3.000000000000000000e+00,1.100000000000000000e+01
1.682514170041463852e+09,7.574999000000000038e+00,5.036480099999999993e+01,6.199999999999999956e-02,3.000000000000000000e+00,1.100000000000000000e+01
1.682514171042261600e+09,7.574998166700000368e+00,5.036480033330000339e+01,1.059999999999999970e-01,3.000000000000000000e+00,1.100000000000000000e+01
1.682514172040134668e+09,7.574997666699999854e+00,5.036479949999999661e+01,2.190000000000000002e-01,3.000000000000000000e+00,1.100000000000000000e+01
