timestamp,ACCEL_X,ACCEL_Y,ACCEL_Z,GYRO_X,GYRO_Y,GYRO_Z,TEMP
1.680087331175393820e+09,1.650000000000000000e+04,1.520000000000000000e+02,1.568000000000000000e+03,-9.800000000000000000e+01,-3.720000000000000000e+02,-2.500000000000000000e+01,-4.160000000000000000e+03
1.680087331186504126e+09,1.644800000000000000e+04,4.000000000000000000e+00,1.588000000000000000e+03,-7.200000000000000000e+01,-2.940000000000000000e+02,-2.100000000000000000e+01,-4.112000000000000000e+03
1.680087331188118219e+09,1.645600000000000000e+04,1.720000000000000000e+02,1.536000000000000000e+03,-7.800000000000000000e+01,-3.880000000000000000e+02,-2.900000000000000000e+01,-4.144000000000000000e+03
1.680087331189446926e+09,1.642000000000000000e+04,2.280000000000000000e+02,1.628000000000000000e+03,-8.800000000000000000e+01,-3.670000000000000000e+02,-2.000000000000000000e+01,-4.144000000000000000e+03
1.680087331190785885e+09,1.638400000000000000e+04,9.600000000000000000e+01,1.640000000000000000e+03,-7.900000000000000000e+01,-2.870000000000000000e+02,4.000000000000000000e+00,-4.128000000000000000e+03
1.680087331192062616e+09,1.645600000000000000e+04,2.280000000000000000e+02,1.484000000000000000e+03,-8.100000000000000000e+01,-2.710000000000000000e+02,7.000000000000000000e+00,-4.128000000000000000e+03
1.680087331202168226e+09,1.641600000000000000e+04,1.280000000000000000e+02,1.596000000000000000e+03,-7.000000000000000000e+01,-2.940000000000000000e+02,-6.000000000000000000e+00,-4.112000000000000000e+03
1.680087331204649687e+09,1.640800000000000000e+04,1.400000000000000000e+02,1.600000000000000000e+03,-5.100000000000000000e+01,-3.110000000000000000e+02,-9.000000000000000000e+00,-4.144000000000000000e+03
1.680087331207512140e+09,1.645200000000000000e+04,1.280000000000000000e+02,1.464000000000000000e+03,-7.800000000000000000e+01,-3.160000000000000000e+02,-8.000000000000000000e+00,-4.096000000000000000e+03
1.680087331210690737e+09,1.642800000000000000e+04,1.440000000000000000e+02,1.468000000000000000e+03,-6.400000000000000000e+01,-3.090000000000000000e+02,1.500000000000000000e+01,-4.128000000000000000e+03
1.680087331216533422e+09,1.641600000000000000e+04,1.360000000000000000e+02,1.528000000000000000e+03,-7.500000000000000000e+01,-3.220000000000000000e+02,-4.600000000000000000e+01,-4.160000000000000000e+03
1.680087331219515562e+09,1.639600000000000000e+04,1.160000000000000000e+02,1.556000000000000000e+03,-4.500000000000000000e+01,-3.170000000000000000e+02,-1.800000000000000000e+01,-4.112000000000000000e+03
1.680087331222104549e+09,1.645200000000000000e+04,7.200000000000000000e+01,1.540000000000000000e+03,-1.130000000000000000e+02,-3.700000000000000000e+02,-2.300000000000000000e+01,-4.112000000000000000e+03
1.680087331224143028e+09,1.654400000000000000e+04,1.280000000000000000e+02,1.564000000000000000e+03,-4.000000000000000000e+01,-3.050000000000000000e+02,3.000000000000000000e+00,-4.128000000000000000e+03
1.680087331226539612e+09,1.638400000000000000e+04,1.360000000000000000e+02,1.556000000000000000e+03,-1.000000000000000000e+02,-3.030000000000000000e+02,-2.600000000000000000e+01,-4.144000000000000000e+03
1.680087331228906155e+09,1.642000000000000000e+04,8.800000000000000000e+01,1.560000000000000000e+03,-9.300000000000000000e+01,-3.610000000000000000e+02,-3.400000000000000000e+01,-4.128000000000000000e+03
1.680087331231223583e+09,1.636400000000000000e+04,7.600000000000000000e+01,1.520000000000000000e+03,-3.900000000000000000e+01,-2.980000000000000000e+02,1.100000000000000000e+01,-4.128000000000000000e+03
1.680087331236503124e+09,1.654000000000000000e+04,1.360000000000000000e+02,1.496000000000000000e+03,-7.800000000000000000e+01,-3.010000000000000000e+02,0.000000000000000000e+00,-4.128000000000000000e+03
1.680087331239342928e+09,1.640800000000000000e+04,1.560000000000000000e+02,1.568000000000000000e+03,-5.400000000000000000e+01,-2.930000000000000000e+02,1.000000000000000000e+00,-4.112000000000000000e+03
1.680087331241046667e+09,1.645200000000000000e+04,5.200000000000000000e+01,1.556000000000000000e+03,-8.000000000000000000e+01,-3.300000000000000000e+02,-2.900000000000000000e+01,-4.128000000000000000e+03
1.680087331243446589e+09,1.648000000000000000e+04,2.000000000000000000e+02,1.568000000000000000e+03,-8.700000000000000000e+01,-3.110000000000000000e+02,-6.000000000000000000e+00,-4.160000000000000000e+03
1.680087331245996475e+09,1.650400000000000000e+04,1.160000000000000000e+02,1.540000000000000000e+03,-4.400000000000000000e+01,-2.980000000000000000e+02,0.000000000000000000e+00,-4.128000000000000000e+03
1.680087331248401642e+09,1.646800000000000000e+04,7.600000000000000000e+01,1.440000000000000000e+03,-7.500000000000000000e+01,-3.820000000000000000e+02,-1.000000000000000000e+01,-4.112000000000000000e+03
1.680087331251077414e+09,1.645600000000000000e+04,9.600000000000000000e+01,1.512000000000000000e+03,-7.700000000000000000e+01,-2.960000000000000000e+02,-9.000000000000000000e+00,-4.128000000000000000e+03
1.680087331253387928e+09,1.651600000000000000e+04,1.320000000000000000e+02,1.472000000000000000e+03,-5.000000000000000000e+01,-3.050000000000000000e+02,-1.000000000000000000e+01,-4.128000000000000000e+03
1.680087331255645275e+09,1.641200000000000000e+04,1.320000000000000000e+02,1.516000000000000000e+03,-1.120000000000000000e+02,-4.010000000000000000e+02,-3.000000000000000000e+01,-4.160000000000000000e+03
1.680087331258561850e+09,1.649600000000000000e+04,2.160000000000000000e+02,1.544000000000000000e+03,-4.200000000000000000e+01,-2.860000000000000000e+02,1.000000000000000000e+01,-4.144000000000000000e+03
1.680087331261874914e+09,1.653200000000000000e+04,2.800000000000000000e+01,1.504000000000000000e+03,-9.500000000000000000e+01,-3.330000000000000000e+02,-2.000000000000000000e+01,-4.144000000000000000e+03
1.680087331262594461e+09,1.640800000000000000e+04,1.320000000000000000e+02,1.648000000000000000e+03,-7.800000000000000000e+01,-3.410000000000000000e+02,-6.000000000000000000e+00,-4.144000000000000000e+03
1.680087331265048742e+09,1.640800000000000000e+04,1.320000000000000000e+02,1.648000000000000000e+03,-5.500000000000000000e+01,-3.080000000000000000e+02,5.000000000000000000e+00,-4.144000000000000000e+03
1.680087331266141415e+09,1.654400000000000000e+04,1.400000000000000000e+02,1.504000000000000000e+03,-7.900000000000000000e+01,-3.060000000000000000e+02,0.000000000000000000e+00,-4.096000000000000000e+03
1.680087331267425537e+09,1.644800000000000000e+04,9.600000000000000000e+01,1.480000000000000000e+03,-6.800000000000000000e+01,-3.270000000000000000e+02,9.000000000000000000e+00,-4.128000000000000000e+03
1.680087331268890619e+09,1.651600000000000000e+04,1.920000000000000000e+02,1.656000000000000000e+03,-9.000000000000000000e+01,-3.780000000000000000e+02,-2.100000000000000000e+01,-4.112000000000000000e+03
1.680087331270176649e+09,1.658400000000000000e+04,1.360000000000000000e+02,1.664000000000000000e+03,-8.500000000000000000e+01,-3.350000000000000000e+02,-1.600000000000000000e+01,-4.144000000000000000e+03
1.680087331271580935e+09,1.648000000000000000e+04,1.360000000000000000e+02,1.640000000000000000e+03,-7.700000000000000000e+01,-3.010000000000000000e+02,-1.500000000000000000e+01,-4.144000000000000000e+03
1.680087331272851229e+09,1.644800000000000000e+04,1.080000000000000000e+02,1.688000000000000000e+03,-7.200000000000000000e+01,-3.040000000000000000e+02,5.000000000000000000e+00,-4.128000000000000000e+03
1.680087331274115086e+09,1.644000000000000000e+04,1.080000000000000000e+02,1.568000000000000000e+03,-6.800000000000000000e+01,-3.310000000000000000e+02,-1.700000000000000000e+01,-4.112000000000000000e+03
1.680087331275494099e+09,1.637200000000000000e+04,1.280000000000000000e+02,1.472000000000000000e+03,-8.000000000000000000e+01,-3.590000000000000000e+02,-1.400000000000000000e+01,-4.144000000000000000e+03
1.680087331276893139e+09,1.643200000000000000e+04,1.800000000000000000e+02,1.564000000000000000e+03,-6.700000000000000000e+01,-3.210000000000000000e+02,4.000000000000000000e+00,-4.144000000000000000e+03
1.680087331278275251e+09,1.646400000000000000e+04,2.360000000000000000e+02,1.552000000000000000e+03,-6.600000000000000000e+01,-2.970000000000000000e+02,2.000000000000000000e+01,-4.128000000000000000e+03
1.680087331279633522e+09,1.642800000000000000e+04,1.640000000000000000e+02,1.632000000000000000e+03,-6.100000000000000000e+01,-3.000000000000000000e+02,2.000000000000000000e+00,-4.144000000000000000e+03
1.680087331280827999e+09,1.653200000000000000e+04,1.560000000000000000e+02,1.556000000000000000e+03,-9.300000000000000000e+01,-3.500000000000000000e+02,-3.600000000000000000e+01,-4.112000000000000000e+03
1.680087331282102108e+09,1.648000000000000000e+04,1.280000000000000000e+02,1.556000000000000000e+03,-9.100000000000000000e+01,-3.400000000000000000e+02,-2.300000000000000000e+01,-4.128000000000000000e+03
1.680087331283360004e+09,1.636000000000000000e+04,1.320000000000000000e+02,1.508000000000000000e+03,-5.600000000000000000e+01,-3.110000000000000000e+02,1.200000000000000000e+01,-4.160000000000000000e+03
1.680087331284787416e+09,1.639200000000000000e+04,2.240000000000000000e+02,1.540000000000000000e+03,-5.500000000000000000e+01,-3.330000000000000000e+02,1.900000000000000000e+01,-4.128000000000000000e+03
1.680087331286079645e+09,1.645200000000000000e+04,8.800000000000000000e+01,1.592000000000000000e+03,-7.600000000000000000e+01,-3.340000000000000000e+02,-1.100000000000000000e+01,-4.160000000000000000e+03
1.680087331287365198e+09,1.641600000000000000e+04,1.360000000000000000e+02,1.608000000000000000e+03,-9.700000000000000000e+01,-3.480000000000000000e+02,-2.000000000000000000e+01,-4.128000000000000000e+03
1.680087331288621902e+09,1.642800000000000000e+04,1.840000000000000000e+02,1.492000000000000000e+03,-9.400000000000000000e+01,-3.930000000000000000e+02,3.000000000000000000e+00,-4.144000000000000000e+03
1.680087331289884567e+09,1.639200000000000000e+04,2.120000000000000000e+02,1.552000000000000000e+03,-7.700000000000000000e+01,-3.310000000000000000e+02,-1.000000000000000000e+00,-4.144000000000000000e+03
1.680087331291276455e+09,1.642800000000000000e+04,-8.000000000000000000e+00,1.532000000000000000e+03,-7.600000000000000000e+01,-2.800000000000000000e+02,1.000000000000000000e+00,-4.144000000000000000e+03
1.680087331292559862e+09,1.643200000000000000e+04,7.200000000000000000e+01,1.596000000000000000e+03,-7.000000000000000000e+01,-2.820000000000000000e+02,-1.000000000000000000e+00,-4.144000000000000000e+03
1.680087331294171333e+09,1.645200000000000000e+04,1.400000000000000000e+02,1.556000000000000000e+03,-8.400000000000000000e+01,-3.410000000000000000e+02,-1.700000000000000000e+01,-4.112000000000000000e+03
1.680087331295542717e+09,1.642000000000000000e+04,1.800000000000000000e+02,1.468000000000000000e+03,-8.800000000000000000e+01,-3.960000000000000000e+02,-1.300000000000000000e+01,-4.128000000000000000e+03
