timestamps_rising_edge
1.679989373699594736e+09
1.679989374642109394e+09
1.679989375261170149e+09
1.679989375973755121e+09
1.679989376694824219e+09
1.679989377106886148e+09
1.679989377635388851e+09
1.679989378228554726e+09
